Latitude,Longitude,Name,Description,Icon,IconColor,Folder,HideNameUntilMouseOver
46.689142,-114.029116,191,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.689584,-114.025924,192,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.686054,-114.034861,197,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.686496,-114.031669,198,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.686937,-114.028477,199,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.687379,-114.025285,200,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.6855,-114.03875,211,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.683407,-114.037414,224,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.683849,-114.034222,225,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.684291,-114.03103,226,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.684732,-114.027837,227,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.685174,-114.024645,228,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.680667,-114.039583,239,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.681202,-114.036774,240,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.681644,-114.033582,241,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.682085,-114.03039,242,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.682527,-114.027198,243,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.682969,-114.024006,244,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.678997,-114.036134,256,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.679439,-114.032943,257,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.67988,-114.029751,258,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.680322,-114.026559,259,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.680763,-114.023367,260,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.679,-114.019536,272,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.679441,-114.016344,273,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.677233,-114.032303,287,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.677675,-114.029111,288,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.678117,-114.02592,289,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.678558,-114.022728,290,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.67547,-114.028472,301,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.675912,-114.025281,302,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.676353,-114.022089,303,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.676795,-114.018897,304,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.673265,-114.027833,313,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.673707,-114.024642,314,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.674148,-114.02145,315,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.674589,-114.018258,316,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.675031,-114.015067,317,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.675472,-114.011875,318,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.675913,-114.008683,319,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.671501,-114.024002,326,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.671943,-114.020811,327,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.672384,-114.01762,328,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.672826,-114.014428,329,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.673267,-114.011236,330,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.673708,-114.008045,331,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.67106,-114.027194,335,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.671503,-114.007406,336,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.668413,-114.029746,340,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.668855,-114.026555,341,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.669296,-114.023364,342,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.669738,-114.020172,343,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.670179,-114.016981,344,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.67062,-114.013789,345,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.671062,-114.010598,346,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.667974,-114.016342,347,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.668415,-114.013151,348,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.668856,-114.009959,349,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.669298,-114.006768,350,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.665327,-114.018894,351,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.665769,-114.015703,352,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.66621,-114.012512,353,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.666651,-114.009321,354,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.667092,-114.006129,355,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.664446,-114.008682,356,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.664887,-114.005491,357,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.704944,-114.044444,466,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.704278,-114.0415,467,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.704139,-114.048639,468,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.702778,-114.045583,469,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.701972,-114.048528,470,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.702139,-114.042528,471,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.700611,-114.045417,473,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.699917,-114.042389,474,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.710917,-114.04175,480,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.709583,-114.044722,481,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.708389,-114.040639,482,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.707083,-114.043611,484,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.706361,-114.047861,485,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.66519,-114.002295,539,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.665771,-113.99909,544,bird survey 2020,201,Yellow,Survey planning 2021/bird survey pts 2020,True
46.727075,-114.003576,7,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.717812,-114.020823,29,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.716931,-114.010603,40,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.715167,-114.00677,44,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.712077,-114.029125,46,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.708108,-114.024653,63,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.709874,-114.011879,67,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.706783,-114.034233,72,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.70811,-114.008047,75,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.704578,-114.033593,78,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.707227,-114.014434,84,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.701489,-114.039339,86,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.703698,-114.023374,91,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.705022,-114.013795,94,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.706346,-114.004215,97,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.701934,-113.986333,129,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.694874,-114.03742,135,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.696641,-114.024649,139,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.697965,-114.015071,142,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
46.698847,-113.992082,159,KD targets 2021,202,Cyan,Survey planning 2021/Kyle Doherty pts 2021,True
